t	ekg	optical	pressure	accel_x	accel_y	accel_z
0	63.758	-5.8723e+05	2535.3	-0.9477	0.062952	-0.2357
0.002	63.756	-5.8724e+05	2535.1	-0.94809	0.062952	-0.23678
0.004	63.75	-5.8724e+05	2535	-0.94848	0.062952	-0.23785
0.006	63.745	-5.8725e+05	2534.8	-0.94887	0.062952	-0.23892
0.008	63.744	-5.8725e+05	2534.6	-0.94926	0.062952	-0.24
0.01	63.742	-5.8726e+05	2534.5	-0.94965	0.062952	-0.24107
0.012	63.743	-5.8726e+05	2534.3	-0.94906	0.062952	-0.24058
0.014	63.748	-5.8727e+05	2534.1	-0.94848	0.062952	-0.2401
0.016	63.748	-5.8727e+05	2533.9	-0.94789	0.062952	-0.23961
0.018	63.743	-5.8728e+05	2533.7	-0.94731	0.062952	-0.23912
0.02	63.737	-5.8728e+05	2533.5	-0.94672	0.062952	-0.23863
0.022	63.733	-5.8728e+05	2533.3	-0.94779	0.062757	-0.23922
0.024	63.739	-5.8729e+05	2533.1	-0.94887	0.062562	-0.2398
0.026	63.752	-5.8729e+05	2533	-0.94994	0.062366	-0.24039
0.028	63.761	-5.873e+05	2532.8	-0.95101	0.062171	-0.24097
0.03	63.758	-5.873e+05	2532.6	-0.95209	0.061976	-0.24156
0.032	63.748	-5.873e+05	2532.4	-0.95189	0.062171	-0.24107
0.034	63.744	-5.873e+05	2532.2	-0.9517	0.062366	-0.24058
0.036	63.741	-5.8731e+05	2532	-0.9515	0.062562	-0.2401
0.038	63.737	-5.8731e+05	2531.8	-0.95131	0.062757	-0.23961
0.04	63.734	-5.8732e+05	2531.6	-0.95111	0.062952	-0.23912
0.042	63.734	-5.8732e+05	2531.5	-0.95072	0.063245	-0.23951
0.044	63.736	-5.8733e+05	2531.3	-0.95033	0.063538	-0.2399
0.046	63.739	-5.8733e+05	2531.1	-0.94994	0.06383	-0.24029
0.048	63.738	-5.8733e+05	2530.8	-0.94955	0.064123	-0.24068
0.05	63.732	-5.8734e+05	2530.6	-0.94916	0.064416	-0.24107
0.052	63.737	-5.8734e+05	2530.4	-0.94994	0.063733	-0.24058
0.054	63.734	-5.8735e+05	2530.3	-0.95072	0.06305	-0.2401
0.056	63.728	-5.8736e+05	2530.1	-0.9515	0.062366	-0.23961
0.058	63.726	-5.8736e+05	2529.9	-0.95228	0.061683	-0.23912
0.06	63.727	-5.8736e+05	2529.7	-0.95306	0.061	-0.23863
0.062	63.732	-5.8736e+05	2529.4	-0.95316	0.060805	-0.23902
0.064	63.738	-5.8737e+05	2529.2	-0.95326	0.06061	-0.23941
0.066	63.737	-5.8738e+05	2529	-0.95336	0.060414	-0.2398
0.068	63.733	-5.8738e+05	2528.9	-0.95345	0.060219	-0.24019
0.07	63.73	-5.8739e+05	2528.7	-0.95355	0.060024	-0.24058
0.072	63.726	-5.8739e+05	2528.5	-0.95267	0.061195	-0.24049
0.074	63.723	-5.8739e+05	2528.2	-0.9518	0.062366	-0.24039
0.076	63.726	-5.874e+05	2528	-0.95092	0.063538	-0.24029
0.078	63.729	-5.8741e+05	2527.8	-0.95004	0.064709	-0.24019
0.08	63.729	-5.8741e+05	2527.5	-0.94916	0.06588	-0.2401
0.082	63.726	-5.8742e+05	2527.3	-0.94887	0.06588	-0.24029
0.084	63.719	-5.8742e+05	2527.1	-0.94857	0.06588	-0.24049
0.086	63.711	-5.8743e+05	2526.9	-0.94828	0.06588	-0.24068
0.088	63.702	-5.8743e+05	2526.7	-0.94799	0.06588	-0.24088
0.09	63.695	-5.8744e+05	2526.5	-0.9477	0.06588	-0.24107
0.092	63.689	-5.8743e+05	2526.3	-0.94799	0.065587	-0.24049
0.094	63.694	-5.8744e+05	2526	-0.94828	0.065294	-0.2399
0.096	63.708	-5.8745e+05	2525.8	-0.94857	0.065002	-0.23932
0.098	63.731	-5.8745e+05	2525.5	-0.94887	0.064709	-0.23873
0.1	63.773	-5.8745e+05	2525.3	-0.94916	0.064416	-0.23814
0.102	63.823	-5.8746e+05	2525.1	-0.94955	0.065002	-0.23853
0.104	63.873	-5.8747e+05	2524.9	-0.94994	0.065587	-0.23892
0.106	63.923	-5.8747e+05	2524.7	-0.95033	0.066173	-0.23932
0.108	63.981	-5.8747e+05	2524.5	-0.95072	0.066758	-0.23971
0.11	64.052	-5.8747e+05	2524.3	-0.95111	0.067344	-0.2401
0.112	64.136	-5.8748e+05	2524	-0.9514	0.06627	-0.23951
0.114	64.223	-5.8748e+05	2523.7	-0.9517	0.065197	-0.23892
0.116	64.3	-5.8749e+05	2523.5	-0.95199	0.064123	-0.23834
0.118	64.347	-5.8749e+05	2523.3	-0.95228	0.06305	-0.23775
0.12	64.369	-5.875e+05	2523.2	-0.95258	0.061976	-0.23717
0.122	64.383	-5.875e+05	2523	-0.9514	0.061976	-0.23746
0.124	64.411	-5.8751e+05	2522.8	-0.95023	0.061976	-0.23775
0.126	64.433	-5.8751e+05	2522.6	-0.94906	0.061976	-0.23805
0.128	64.436	-5.8751e+05	2522.4	-0.94789	0.061976	-0.23834
0.13	64.396	-5.8752e+05	2522.2	-0.94672	0.061976	-0.23863
0.132	64.334	-5.8753e+05	2522.1	-0.94652	0.061878	-0.23844
0.134	64.279	-5.8754e+05	2521.9	-0.94633	0.061781	-0.23824
0.136	64.2	-5.8754e+05	2521.8	-0.94613	0.061683	-0.23805
