t	ekg	optical	pressure	accel_x	accel_y	accel_z
0	56.449	-8.7195e+05	3299.1	0.052216	-0.028304	1.0067
0.002	56.419	-8.7195e+05	3302.9	0.052802	-0.026547	1.005
0.004	56.417	-8.7195e+05	3306.8	0.053387	-0.02479	1.0032
0.006	56.429	-8.7195e+05	3311	0.053973	-0.023034	1.0015
0.008	56.457	-8.7195e+05	3315.6	0.054558	-0.021277	0.99972
0.01	56.482	-8.7195e+05	3320.3	0.055144	-0.01952	0.99796
0.012	56.466	-8.7195e+05	3325.3	0.054949	-0.020301	0.99962
0.014	56.448	-8.7196e+05	3330.3	0.054754	-0.021082	1.0013
0.016	56.428	-8.7197e+05	3335.4	0.054558	-0.021862	1.0029
0.018	56.39	-8.7197e+05	3340.6	0.054363	-0.022643	1.0046
0.02	56.377	-8.7197e+05	3345.8	0.054168	-0.023424	1.0063
0.022	56.383	-8.7196e+05	3350.9	0.054558	-0.022838	1.0053
0.024	56.395	-8.7195e+05	3356.1	0.054949	-0.022253	1.0043
0.026	56.434	-8.7194e+05	3361.1	0.055339	-0.021667	1.0033
0.028	56.463	-8.7194e+05	3366.1	0.05573	-0.021082	1.0024
0.03	56.454	-8.7194e+05	3371.1	0.05612	-0.020496	1.0014
0.032	56.418	-8.7194e+05	3375.9	0.055827	-0.022155	1.0024
0.034	56.376	-8.7193e+05	3380.8	0.055534	-0.023814	1.0035
0.036	56.365	-8.7193e+05	3385.5	0.055242	-0.025474	1.0046
0.038	56.388	-8.7192e+05	3390.1	0.054949	-0.027133	1.0057
0.04	56.41	-8.7191e+05	3394.7	0.054656	-0.028792	1.0067
0.042	56.443	-8.719e+05	3399	0.053192	-0.028987	1.0072
0.044	56.478	-8.7189e+05	3403.3	0.051728	-0.029182	1.0077
0.046	56.475	-8.7188e+05	3407.4	0.050264	-0.029378	1.0082
0.048	56.444	-8.7187e+05	3411.4	0.0488	-0.029573	1.0087
0.05	56.429	-8.7186e+05	3415.3	0.047336	-0.029768	1.0092
0.052	56.42	-8.7186e+05	3418.8	0.046946	-0.028694	1.0096
0.054	56.431	-8.7185e+05	3422.3	0.046555	-0.027621	1.01
0.056	56.444	-8.7184e+05	3425.4	0.046165	-0.026547	1.0104
0.058	56.466	-8.7183e+05	3428.2	0.045774	-0.025474	1.0107
0.06	56.497	-8.7182e+05	3431	0.045384	-0.0244	1.0111
0.062	56.502	-8.718e+05	3433	0.045872	-0.024595	1.0109
0.064	56.485	-8.7178e+05	3434.9	0.04636	-0.02479	1.0107
0.066	56.471	-8.7179e+05	3436.5	0.046848	-0.024986	1.0106
0.068	56.45	-8.7179e+05	3437.6	0.047336	-0.025181	1.0104
0.07	56.477	-8.7177e+05	3438.7	0.047824	-0.025376	1.0102
0.072	56.509	-8.7175e+05	3439.3	0.047043	-0.025571	1.0102
0.074	56.542	-8.7175e+05	3439.9	0.046262	-0.025766	1.0102
0.076	56.592	-8.7174e+05	3440.4	0.045482	-0.025962	1.0102
0.078	56.598	-8.7174e+05	3440.8	0.044701	-0.026157	1.0102
0.08	56.594	-8.7173e+05	3441.3	0.04392	-0.026352	1.0102
0.082	56.58	-8.7172e+05	3441.6	0.044701	-0.026938	1.01
0.084	56.555	-8.7172e+05	3442	0.045482	-0.027523	1.0098
0.086	56.543	-8.7171e+05	3442.5	0.046262	-0.028109	1.0096
0.088	56.556	-8.717e+05	3442.9	0.047043	-0.028694	1.0094
0.09	56.581	-8.7169e+05	3443.4	0.047824	-0.02928	1.0092
0.092	56.611	-8.7168e+05	3443.9	0.048605	-0.028109	1.0084
0.094	56.622	-8.7169e+05	3444.4	0.049386	-0.026938	1.0076
0.096	56.621	-8.7169e+05	3444.9	0.050166	-0.025766	1.0068
0.098	56.617	-8.7168e+05	3445.4	0.050947	-0.024595	1.0061
0.1	56.599	-8.7166e+05	3445.8	0.051728	-0.023424	1.0053
0.102	56.578	-8.7166e+05	3446.1	0.052021	-0.022643	1.0041
0.104	56.571	-8.7165e+05	3446.4	0.052314	-0.021862	1.0029
0.106	56.579	-8.7164e+05	3446.6	0.052606	-0.021082	1.0018
0.108	56.611	-8.7164e+05	3446.7	0.052899	-0.020301	1.0006
0.11	56.651	-8.7163e+05	3446.8	0.053192	-0.01952	0.99942
0.112	56.662	-8.7163e+05	3446.7	0.053387	-0.020106	0.99991
0.114	56.647	-8.7163e+05	3446.7	0.053582	-0.020691	1.0004
0.116	56.614	-8.7162e+05	3446.5	0.053778	-0.021277	1.0009
0.118	56.577	-8.7161e+05	3446.3	0.053973	-0.021862	1.0014
0.12	56.583	-8.7159e+05	3446.1	0.054168	-0.022448	1.0019
0.122	56.625	-8.7159e+05	3445.7	0.054461	-0.02235	1.002
0.124	56.652	-8.7159e+05	3445.2	0.054754	-0.022253	1.0021
0.126	56.678	-8.7158e+05	3444.8	0.055046	-0.022155	1.0022
0.128	56.699	-8.7157e+05	3444.2	0.055339	-0.022058	1.0023
0.13	56.673	-8.7156e+05	3443.7	0.055632	-0.02196	1.0024
0.132	56.643	-8.7154e+05	3443	0.056803	-0.02196	1.0023
0.134	56.627	-8.7154e+05	3442.3	0.057974	-0.02196	1.0022
0.136	56.621	-8.7154e+05	3441.5	0.059146	-0.02196	1.0021
0.138	56.62	-8.7153e+05	3440.8	0.060317	-0.02196	1.002
0.14	56.63	-8.7152e+05	3440	0.061488	-0.02196	1.0019
0.142	56.678	-8.7151e+05	3439.2	0.060805	-0.02196	1.0021
0.144	56.691	-8.715e+05	3438.5	0.060122	-0.02196	1.0023
0.146	56.654	-8.715e+05	3437.6	0.059438	-0.02196	1.0024
0.148	56.646	-8.715e+05	3436.8	0.058755	-0.02196	1.0026
0.15	56.627	-8.715e+05	3435.9	0.058072	-0.02196	1.0028
0.152	56.61	-8.7149e+05	3435	0.058072	-0.02157	1.0024
0.154	56.623	-8.7149e+05	3434.2	0.058072	-0.021179	1.0021
0.156	56.641	-8.7148e+05	3433.3	0.058072	-0.020789	1.0017
0.158	56.655	-8.7147e+05	3432.5	0.058072	-0.020398	1.0013
0.16	56.696	-8.7145e+05	3431.7	0.058072	-0.020008	1.0009
0.162	56.702	-8.7146e+05	3430.9	0.057974	-0.020106	1.001
0.164	56.678	-8.7147e+05	3430	0.057877	-0.020203	1.0011
0.166	56.658	-8.7146e+05	3429.2	0.057779	-0.020301	1.0012
0.168	56.641	-8.7146e+05	3428.3	0.057682	-0.020398	1.0013
0.17	56.628	-8.7146e+05	3427.5	0.057584	-0.020496	1.0014
0.172	56.629	-8.7145e+05	3426.6	0.058072	-0.021179	1.0024
0.174	56.658	-8.7144e+05	3425.8	0.05856	-0.021862	1.0033
0.176	56.69	-8.7144e+05	3425	0.059048	-0.022546	1.0043
0.178	56.694	-8.7144e+05	3424.2	0.059536	-0.023229	1.0053
0.18	56.679	-8.7144e+05	3423.3	0.060024	-0.023912	1.0063
0.182	56.659	-8.7143e+05	3422.5	0.059438	-0.023424	1.0047
0.184	56.633	-8.7143e+05	3421.7	0.058853	-0.022936	1.0031
0.186	56.63	-8.7142e+05	3420.8	0.058267	-0.022448	1.0016
0.188	56.651	-8.7141e+05	3420	0.057682	-0.02196	1
0.19	56.67	-8.714e+05	3419.1	0.057096	-0.021472	0.99845
0.192	56.691	-8.7139e+05	3418.3	0.056608	-0.02235	0.99981
0.194	56.702	-8.7139e+05	3417.5	0.05612	-0.023229	1.0012
0.196	56.689	-8.7139e+05	3416.7	0.055632	-0.024107	1.0025
0.198	56.678	-8.7139e+05	3415.8	0.055144	-0.024986	1.0039
0.2	56.66	-8.7139e+05	3414.9	0.054656	-0.025864	1.0053
0.202	56.64	-8.7138e+05	3414	0.055632	-0.025669	1.0055
0.204	56.666	-8.7138e+05	3413.1	0.056608	-0.025474	1.0057
0.206	56.696	-8.7138e+05	3412	0.057584	-0.025278	1.0059
0.208	56.705	-8.7138e+05	3410.9	0.05856	-0.025083	1.0061
0.21	56.722	-8.7137e+05	3409.8	0.059536	-0.024888	1.0063
0.212	56.72	-8.7136e+05	3408.6	0.059146	-0.024498	1.0064
0.214	56.705	-8.7136e+05	3407.4	0.058755	-0.024107	1.0065
0.216	56.684	-8.7137e+05	3406.1	0.058365	-0.023717	1.0065
0.218	56.644	-8.7136e+05	3404.9	0.057974	-0.023326	1.0066
0.22	56.629	-8.7136e+05	3403.6	0.057584	-0.022936	1.0067
0.222	56.649	-8.7136e+05	3402.2	0.057194	-0.023131	1.0067
0.224	56.656	-8.7136e+05	3400.9	0.056803	-0.023326	1.0067
0.226	56.703	-8.7137e+05	3399.5	0.056413	-0.023522	1.0067
0.228	56.733	-8.7137e+05	3398.2	0.056022	-0.023717	1.0067
0.23	56.721	-8.7136e+05	3396.8	0.055632	-0.023912	1.0067
0.232	56.698	-8.7136e+05	3395.5	0.056022	-0.023912	1.0067
0.234	56.665	-8.7136e+05	3394.2	0.056413	-0.023912	1.0067
0.236	56.652	-8.7136e+05	3393	0.056803	-0.023912	1.0067
0.238	56.658	-8.7135e+05	3391.7	0.057194	-0.023912	1.0067
0.24	56.659	-8.7135e+05	3390.5	0.057584	-0.023912	1.0067
0.242	56.684	-8.7135e+05	3389.4	0.056803	-0.024693	1.0069
0.244	56.705	-8.7135e+05	3388.2	0.056022	-0.025474	1.0071
0.246	56.704	-8.7135e+05	3387.2	0.055242	-0.026254	1.0073
0.248	56.696	-8.7135e+05	3386.2	0.054461	-0.027035	1.0075
0.25	56.689	-8.7135e+05	3385.2	0.05368	-0.027816	1.0077
0.252	56.685	-8.7135e+05	3384.4	0.054168	-0.026938	1.0073
0.254	56.687	-8.7136e+05	3383.6	0.054656	-0.026059	1.0069
0.256	56.694	-8.7137e+05	3382.9	0.055144	-0.025181	1.0065
0.258	56.707	-8.7136e+05	3382.3	0.055632	-0.024302	1.0062
0.26	56.728	-8.7136e+05	3381.6	0.05612	-0.023424	1.0058
0.262	56.735	-8.7136e+05	3381.1	0.056706	-0.023522	1.0052
0.264	56.726	-8.7137e+05	3380.6	0.057291	-0.023619	1.0046
0.266	56.703	-8.7137e+05	3380.1	0.057877	-0.023717	1.004
0.268	56.682	-8.7138e+05	3379.6	0.058462	-0.023814	1.0034
0.27	56.671	-8.7137e+05	3379.1	0.059048	-0.023912	1.0028
0.272	56.676	-8.7136e+05	3378.8	0.059634	-0.024888	1.0034
0.274	56.7	-8.7136e+05	3378.5	0.060219	-0.025864	1.004
0.276	56.725	-8.7136e+05	3378.2	0.060805	-0.02684	1.0046
0.278	56.722	-8.7136e+05	3377.9	0.06139	-0.027816	1.0052
0.28	56.706	-8.7136e+05	3377.6	0.061976	-0.028792	1.0058
0.282	56.695	-8.7136e+05	3377.4	0.061878	-0.028206	1.0059
0.284	56.671	-8.7136e+05	3377.2	0.061781	-0.027621	1.006
0.286	56.658	-8.7136e+05	3377	0.061683	-0.027035	1.0061
0.288	56.677	-8.7136e+05	3376.8	0.061586	-0.02645	1.0062
0.29	56.699	-8.7137e+05	3376.7	0.061488	-0.025864	1.0063
0.292	56.731	-8.7137e+05	3376.8	0.061	-0.024986	1.0056
0.294	56.758	-8.7136e+05	3376.9	0.060512	-0.024107	1.0049
0.296	56.743	-8.7136e+05	3377.1	0.060024	-0.023229	1.0042
0.298	56.718	-8.7136e+05	3377.3	0.059536	-0.02235	1.0035
0.3	56.707	-8.7137e+05	3377.6	0.059048	-0.021472	1.0028
0.302	56.674	-8.7137e+05	3377.8	0.058755	-0.02157	1.0034
0.304	56.674	-8.7138e+05	3378.1	0.058462	-0.021667	1.004
0.306	56.686	-8.7137e+05	3378.3	0.05817	-0.021765	1.0046
0.308	56.706	-8.7136e+05	3378.5	0.057877	-0.021862	1.0052
0.31	56.748	-8.7136e+05	3378.6	0.057584	-0.02196	1.0058
0.312	56.751	-8.7136e+05	3378.8	0.057096	-0.021667	1.0057
0.314	56.725	-8.7136e+05	3379	0.056608	-0.021374	1.0056
0.316	56.707	-8.7136e+05	3379.2	0.05612	-0.021082	1.0055
0.318	56.69	-8.7136e+05	3379.4	0.055632	-0.020789	1.0054
0.32	56.698	-8.7137e+05	3379.6	0.055144	-0.020496	1.0053
0.322	56.706	-8.7137e+05	3379.8	0.055046	-0.020691	1.0047
0.324	56.714	-8.7137e+05	3380	0.054949	-0.020886	1.0041
0.326	56.754	-8.7137e+05	3380.1	0.054851	-0.021082	1.0035
0.328	56.76	-8.7136e+05	3380.3	0.054754	-0.021277	1.0029
0.33	56.737	-8.7136e+05	3380.4	0.054656	-0.021472	1.0024
0.332	56.721	-8.7135e+05	3380.6	0.05329	-0.022936	1.0037
0.334	56.688	-8.7136e+05	3380.8	0.051923	-0.0244	1.0051
0.336	56.678	-8.7136e+05	3381	0.050557	-0.025864	1.0065
0.338	56.705	-8.7136e+05	3381.3	0.04919	-0.027328	1.0078
0.34	56.73	-8.7136e+05	3381.5	0.047824	-0.028792	1.0092
0.342	56.757	-8.7135e+05	3381.7	0.048214	-0.02928	1.009
0.344	56.776	-8.7135e+05	3381.9	0.048605	-0.029768	1.0088
0.346	56.772	-8.7135e+05	3382	0.048995	-0.030256	1.0086
0.348	56.764	-8.7135e+05	3382.2	0.049386	-0.030744	1.0084
