t	ekg	optical	pressure	accel_x	accel_y	accel_z
0	127	-3.1488e+05	2971.8	0.083936	-0.31427	0.97942
0.002	126.99	-3.1489e+05	2971.6	0.085205	-0.31427	0.97903
0.004	126.95	-3.1489e+05	2971.4	0.086474	-0.31427	0.97864
0.006	126.89	-3.1489e+05	2971.1	0.087742	-0.31427	0.97824
0.008	126.91	-3.1489e+05	2970.9	0.089011	-0.31427	0.97785
0.01	126.98	-3.1489e+05	2970.7	0.09028	-0.31427	0.97746
0.012	127	-3.1489e+05	2970.6	0.091354	-0.31593	0.97737
0.014	126.91	-3.1489e+05	2970.5	0.092427	-0.31759	0.97727
0.016	126.88	-3.1489e+05	2970.5	0.093501	-0.31925	0.97717
0.018	126.91	-3.1489e+05	2970.4	0.094574	-0.32091	0.97707
0.02	126.92	-3.1489e+05	2970.4	0.095648	-0.32257	0.97698
0.022	126.9	-3.1489e+05	2970.3	0.09477	-0.3211	0.97698
0.024	126.9	-3.1489e+05	2970.3	0.093891	-0.31964	0.97698
0.026	126.95	-3.1489e+05	2970.2	0.093013	-0.31818	0.97698
0.028	126.95	-3.1489e+05	2970.2	0.092134	-0.31671	0.97698
0.03	126.99	-3.1489e+05	2970.1	0.091256	-0.31525	0.97698
0.032	127	-3.1488e+05	2970.1	0.091354	-0.31496	0.97668
0.034	126.97	-3.1488e+05	2970.1	0.091451	-0.31466	0.97639
0.036	126.91	-3.1488e+05	2970	0.091549	-0.31437	0.9761
0.038	126.88	-3.1488e+05	2970	0.091646	-0.31408	0.9758
0.04	126.91	-3.1487e+05	2969.9	0.091744	-0.31378	0.97551
0.042	126.95	-3.1488e+05	2969.9	0.092818	-0.31486	0.97473
0.044	126.93	-3.1488e+05	2969.8	0.093891	-0.31593	0.97395
0.046	126.93	-3.1488e+05	2969.8	0.094965	-0.317	0.97317
0.048	126.97	-3.1488e+05	2969.8	0.096038	-0.31808	0.97239
0.05	126.96	-3.1488e+05	2969.7	0.097112	-0.31915	0.97161
0.052	126.98	-3.1488e+05	2969.6	0.097795	-0.31808	0.9718
0.054	126.98	-3.1488e+05	2969.5	0.098478	-0.317	0.972
0.056	126.99	-3.1488e+05	2969.4	0.099162	-0.31593	0.97219
0.058	127.01	-3.1488e+05	2969.3	0.099845	-0.31486	0.97239
0.06	126.97	-3.1488e+05	2969.2	0.10053	-0.31378	0.97258
0.062	126.91	-3.1488e+05	2969	0.10072	-0.31447	0.97288
0.064	126.87	-3.1488e+05	2968.8	0.10092	-0.31515	0.97317
0.066	126.87	-3.1488e+05	2968.6	0.10111	-0.31583	0.97346
0.068	126.91	-3.1487e+05	2968.4	0.10131	-0.31652	0.97376
0.07	126.93	-3.1488e+05	2968.1	0.1015	-0.3172	0.97405
0.072	126.95	-3.1489e+05	2967.9	0.099259	-0.317	0.97297
0.074	126.96	-3.1489e+05	2967.6	0.097014	-0.31681	0.9719
0.076	126.95	-3.1489e+05	2967.3	0.09477	-0.31661	0.97083
0.078	126.92	-3.1489e+05	2967.1	0.092525	-0.31642	0.96975
0.08	126.9	-3.1488e+05	2966.8	0.09028	-0.31622	0.96868
0.082	126.88	-3.1488e+05	2966.5	0.090768	-0.31613	0.96848
0.084	126.87	-3.1488e+05	2966.3	0.091256	-0.31603	0.96829
0.086	126.88	-3.1488e+05	2966	0.091744	-0.31593	0.96809
