t	ekg	optical	pressure	accel_x	accel_y	accel_z
0	0.053871	169.4	8.3143	0.0047043	-0.0026546	0.0020569
0.002	0.055084	170.72	8.2861	0.0046043	-0.0025673	0.0022429
0.004	0.055272	172.05	8.2579	0.0045042	-0.0024801	0.002429
0.006	0.054468	173.37	8.226	0.0044041	-0.0023928	0.0026151
0.008	0.052902	174.67	8.1903	0.004304	-0.0023056	0.0028012
0.01	0.050953	175.94	8.1545	0.004204	-0.0022184	0.0029873
0.012	0.049079	177.18	8.1108	0.0037997	-0.0017617	0.0029273
0.014	0.047723	178.4	8.0671	0.0033955	-0.001305	0.0028673
0.016	0.047221	179.61	8.0219	0.0029913	-0.00084838	0.0028074
0.018	0.047744	180.81	7.9752	0.002587	-0.00039171	0.0027474
0.02	0.049263	182	7.9286	0.0021828	6.4955e-05	0.0026875
0.022	0.051561	183.18	7.885	0.0018914	0.0004034	0.0025398
0.024	0.054285	184.36	7.8413	0.0016	0.00074184	0.0023922
0.026	0.057021	185.53	7.8003	0.0013085	0.0010803	0.0022445
0.028	0.059379	186.71	7.7617	0.0010171	0.0014187	0.0020968
0.03	0.061063	187.89	7.7232	0.0007257	0.0017572	0.0019492
0.032	0.061926	189.08	7.6857	0.00081674	0.0016955	0.0017965
0.034	0.06198	190.28	7.6482	0.00090778	0.0016339	0.0016438
0.036	0.061381	191.48	7.6067	0.00099882	0.0015722	0.0014912
0.038	0.060381	192.69	7.5614	0.0010899	0.0015106	0.0013385
0.04	0.059266	193.91	7.5161	0.0011809	0.001449	0.0011858
0.042	0.058297	195.14	7.4533	0.00148	0.0011763	0.0009966
0.044	0.057659	196.38	7.3905	0.0017792	0.00090356	0.00080739
0.046	0.05744	197.63	7.3164	0.0020783	0.00063086	0.00061818
0.048	0.057628	198.88	7.231	0.0023774	0.00035816	0.00042897
0.05	0.058142	200.14	7.1456	0.0026766	8.546e-05	0.00023976
0.052	0.05886	201.41	7.0405	0.0028179	-4.7123e-05	-2.7914e-05
0.054	0.059669	202.68	6.9354	0.0029593	-0.00017971	-0.00029559
0.056	0.060483	203.95	6.8261	0.0031006	-0.00031229	-0.00056326
0.058	0.061263	205.23	6.7126	0.003242	-0.00044487	-0.00083093
0.06	0.062007	206.5	6.5991	0.0033834	-0.00057746	-0.0010986
0.062	0.06272	207.78	6.4932	0.003268	-0.0004723	-0.0013672
0.064	0.063391	209.04	6.3872	0.0031526	-0.00036714	-0.0016358
0.066	0.063956	210.3	6.2921	0.0030373	-0.00026198	-0.0019044
0.068	0.06429	211.55	6.208	0.0029219	-0.00015682	-0.002173
0.07	0.06421	212.79	6.1239	0.0028065	-5.1659e-05	-0.0024416
0.072	0.063506	214.02	6.0682	0.0026662	0.00013027	-0.0025187
0.074	0.061986	215.23	6.0124	0.0025258	0.00031221	-0.0025959
0.076	0.059532	216.42	5.9683	0.0023854	0.00049414	-0.002673
0.078	0.056152	217.59	5.9358	0.002245	0.00067607	-0.0027502
0.08	0.052001	218.74	5.9032	0.0021046	0.00085801	-0.0028274
0.082	0.047383	219.87	5.8781	0.0021278	0.0010021	-0.0025862
0.084	0.042716	220.97	5.853	0.0021509	0.0011461	-0.0023451
0.086	0.038475	222.04	5.8208	0.002174	0.0012902	-0.0021039
0.088	0.035103	223.09	5.7815	0.0021972	0.0014342	-0.0018627
0.09	0.03293	224.1	5.7422	0.0022203	0.0015783	-0.0016216
0.092	0.032104	225.08	5.6691	0.0023103	0.0017092	-0.0011883
0.094	0.032561	226.03	5.5959	0.0024003	0.0018401	-0.00075504
0.096	0.034026	226.95	5.5001	0.0024903	0.001971	-0.00032178
0.098	0.036056	227.83	5.3818	0.0025803	0.002102	0.00011149
0.1	0.038125	228.68	5.2635	0.0026702	0.0022329	0.00054475
0.102	0.039722	229.49	5.1009	0.0026869	0.00229	0.00083866
0.104	0.040446	230.26	4.9382	0.0027036	0.0023472	0.0011326
0.106	0.040087	231.01	4.7591	0.0027202	0.0024043	0.0014265
0.108	0.038659	231.71	4.5636	0.0027369	0.0024615	0.0017204
0.11	0.036398	232.38	4.368	0.0027536	0.0025186	0.0020143
0.112	0.033707	233.02	4.1561	0.0028332	0.0023028	0.0019316
0.114	0.031072	233.63	3.9443	0.0029129	0.0020869	0.0018489
0.116	0.028962	234.2	3.7316	0.0029926	0.001871	0.0017662
0.118	0.027728	234.74	3.5182	0.0030722	0.0016552	0.0016836
0.12	0.027534	235.25	3.3047	0.0031519	0.0014393	0.0016009
0.122	0.028329	235.74	3.0969	0.0035537	0.00091855	0.0012298
0.124	0.029859	236.19	2.8891	0.0039554	0.00039776	0.00085877
0.126	0.031731	236.62	2.6833	0.0043572	-0.00012303	0.00048771
0.128	0.033497	237.03	2.4795	0.004759	-0.00064382	0.00011665
0.13	0.034757	237.41	2.2756	0.0051607	-0.0011646	-0.00025441
0.132	0.035244	237.78	2.0681	0.0058044	-0.0016926	-0.00060282
0.134	0.034882	238.12	1.8605	0.0064481	-0.0022205	-0.00095123
0.136	0.033798	238.45	1.6474	0.0070917	-0.0027485	-0.0012996
0.138	0.032289	238.76	1.4288	0.0077354	-0.0032765	-0.0016481
0.14	0.030755	239.06	1.2103	0.0083791	-0.0038044	-0.0019965
0.142	0.029602	239.35	0.98058	0.0087355	-0.0040018	-0.0020662
0.144	0.029148	239.63	0.75089	0.009092	-0.0041993	-0.002136
0.146	0.029545	239.9	0.52099	0.0094484	-0.0043967	-0.0022058
0.148	0.030746	240.17	0.29088	0.0098048	-0.0045941	-0.0022755
0.15	0.032505	240.44	0.060772	0.010161	-0.0047915	-0.0023453
0.152	0.034429	240.7	-0.14933	0.0097191	-0.0046194	-0.0020953
0.154	0.036066	240.96	-0.35943	0.009277	-0.0044472	-0.0018454
