t	ekg	optical	pressure	accel_x	accel_y	accel_z
0	83.013	-28380	2122.2	-0.85254	0.42846	-0.25083
0.002	83.007	-28380	2122.2	-0.85322	0.42749	-0.25083
0.004	83.007	-28380	2122.2	-0.8539	0.42651	-0.25083
0.006	83.004	-28374	2122.2	-0.85459	0.42554	-0.25083
0.008	82.999	-28368	2122.1	-0.85527	0.42456	-0.25083
0.01	82.995	-28375	2122.1	-0.85595	0.42358	-0.25083
0.012	82.995	-28381	2122.1	-0.85615	0.4231	-0.25112
0.014	83.007	-28377	2122.1	-0.85634	0.42261	-0.25142
0.016	83.014	-28372	2122.1	-0.85654	0.42212	-0.25171
0.018	83.012	-28373	2122	-0.85673	0.42163	-0.252
0.02	83.009	-28375	2122	-0.85693	0.42114	-0.2523
0.022	83.003	-28383	2122	-0.85634	0.42144	-0.25191
0.024	82.995	-28392	2122	-0.85576	0.42173	-0.25152
0.026	82.989	-28391	2121.9	-0.85517	0.42202	-0.25112
0.028	82.993	-28389	2121.9	-0.85459	0.42232	-0.25073
0.03	83	-28383	2121.9	-0.854	0.42261	-0.25034
0.032	82.997	-28377	2121.9	-0.8541	0.42329	-0.25025
0.034	82.988	-28380	2121.8	-0.8542	0.42397	-0.25015
0.036	82.977	-28382	2121.8	-0.85429	0.42466	-0.25005
0.038	82.975	-28389	2121.8	-0.85439	0.42534	-0.24995
0.04	82.973	-28396	2121.8	-0.85449	0.42602	-0.24986
0.042	82.975	-28384	2121.8	-0.85478	0.42593	-0.24976
0.044	82.977	-28372	2121.7	-0.85507	0.42583	-0.24966
0.046	82.98	-28379	2121.7	-0.85537	0.42573	-0.24956
0.048	82.977	-28386	2121.7	-0.85566	0.42563	-0.24947
0.05	82.971	-28388	2121.7	-0.85595	0.42554	-0.24937
0.052	82.966	-28389	2121.6	-0.85537	0.42573	-0.24986
0.054	82.967	-28384	2121.5	-0.85478	0.42593	-0.25034
0.056	82.969	-28378	2121.5	-0.8542	0.42612	-0.25083
0.058	82.968	-28379	2121.5	-0.85361	0.42632	-0.25132
0.06	82.963	-28381	2121.5	-0.85302	0.42651	-0.25181
0.062	82.961	-28388	2121.5	-0.85361	0.42554	-0.25161
0.064	82.963	-28395	2121.5	-0.8542	0.42456	-0.25142
0.066	82.963	-28398	2121.5	-0.85478	0.42358	-0.25122
0.068	82.96	-28401	2121.4	-0.85537	0.42261	-0.25103
0.07	82.961	-28398	2121.4	-0.85595	0.42163	-0.25083
0.072	82.959	-28394	2121.4	-0.85595	0.42124	-0.25083
0.074	82.955	-28394	2121.4	-0.85595	0.42085	-0.25083
0.076	82.955	-28394	2121.4	-0.85595	0.42046	-0.25083
0.078	82.953	-28398	2121.3	-0.85595	0.42007	-0.25083
0.08	82.945	-28401	2121.3	-0.85595	0.41968	-0.25083
0.082	82.936	-28400	2121.3	-0.85449	0.42124	-0.25005
0.084	82.933	-28398	2121.2	-0.85302	0.4228	-0.24927
0.086	82.931	-28396	2121.1	-0.85156	0.42436	-0.24849
0.088	82.925	-28393	2121.1	-0.8501	0.42593	-0.24771
0.09	82.921	-28388	2121.1	-0.84863	0.42749	-0.24693
0.092	82.926	-28383	2121.1	-0.84892	0.42778	-0.24722
0.094	82.923	-28386	2121.1	-0.84922	0.42807	-0.24751
0.096	82.911	-28390	2121	-0.84951	0.42837	-0.24781
0.098	82.904	-28396	2121	-0.8498	0.42866	-0.2481
0.1	82.9	-28403	2121	-0.8501	0.42895	-0.24839
0.102	82.898	-28401	2120.9	-0.85117	0.42778	-0.24898
0.104	82.896	-28399	2120.9	-0.85224	0.42661	-0.24956
0.106	82.891	-28396	2120.8	-0.85332	0.42544	-0.25015
0.108	82.883	-28393	2120.8	-0.85439	0.42427	-0.25073
0.11	82.873	-28394	2120.8	-0.85546	0.4231	-0.25132
